,role,company_name,work_experience,location,skills,post_date,link
75,Microsoft Azure Data Services-Data Platform Engineer,Accenture,5-10 Yrs,Hyderabad/Secunderabad,"['Data modeling', 'MySQL', 'Data processing', 'SQL', 'Python', 'data services', 'data governance', 'Programming']",1 Day Ago,https://www.naukri.com/job-listings-microsoft-azure-data-services-data-platform-engineer-accenture-solutions-pvt-ltd-hyderabad-secunderabad-5-to-10-years-260124905587
76,DAT virtual simulation,Actalent,3-5 Yrs,"Chennai, Tamil Nadu","['CANalyser', 'm scripting', 'Data analyst', 'python', 'CANape', 'Simulation', 'Data analysis', 'Data']",1 Day Ago,https://www.naukri.com/job-listings-dat-virtual-simulation-allegis-group-chennai-tamil-nadu-3-to-5-years-260124005579
77,Data Analyst,Donovan Apparels,2-5 Yrs,Delhi / NCR,"['vba', 'Advanced Excel', 'dashboards', 'SQL', 'mis reporting', 'verbal communication', 'Communication skills', 'Data analysis']",1 Day Ago,https://www.naukri.com/job-listings-data-analyst-donovan-apparels-delhi-ncr-2-to-5-years-260124005574
78,International Business Development Manager,Primeiq Research (opc),1-2 Yrs,Hybrid - Mumbai (All Areas),"['Presentation Skills', 'Written Communication', 'negotiation', 'communication skills', 'Interpersonal Skills', 'Interpersonal', 'Business development', 'Interpersonal Skill']",1 Day Ago,https://www.naukri.com/job-listings-international-business-development-manager-primeiq-research-opc-mumbai-all-areas-1-to-2-years-280823003453
79,Teradata BI-Application Developer,Accenture,2-5 Yrs,Bangalore/Bengaluru,"['Data modeling', 'Teradata', 'Troubleshooting', 'Unix shell scripting', 'SQL', 'Data analysis', 'Data processing', 'High level design']",1 Day Ago,https://www.naukri.com/job-listings-teradata-bi-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-260124905427
80,Data Science-Data Designer,Accenture,5-10 Yrs,Bangalore/Bengaluru,"['Debugging', 'Agile', 'Apache', 'Python', 'Data analysis', 'GIT', 'Image processing', 'Django']",1 Day Ago,https://www.naukri.com/job-listings-data-science-data-designer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124905416
81,Financial Asset Management-Application Developer,Accenture,12-14 Yrs,Pune,"['Unix', 'Data analysis', 'Project management', 'Oracle', 'Remedy', 'Asset management', 'SQL development', 'Analysis']",1 Day Ago,https://www.naukri.com/job-listings-financial-asset-management-application-developer-accenture-solutions-pvt-ltd-pune-12-to-14-years-260124905358
82,GN - SONG - ACE - Platforms - Functional - 06,Accenture,12-14 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Strategy consulting', 'Reinsurance', 'Machine learning', 'Client engagement', 'Asset management', 'Operations', 'Financial services']",1 Day Ago,https://www.naukri.com/job-listings-gn-song-ace-platforms-functional-06-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-14-years-260124905291
83,PTC Windchill-Solution Architect,Accenture,12-14 Yrs,Bangalore/Bengaluru,"['Data analysis', 'CAD', 'Agile', 'Stored procedures', 'Oracle', 'Application design', 'Data migration', 'Team management']",1 Day Ago,https://www.naukri.com/job-listings-ptc-windchill-solution-architect-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-14-years-260124905262
84,Apache Spark-Application Developer,Accenture,4-5 Yrs,Bangalore/Bengaluru,"['Logistic regression', 'Data analysis', 'linear regression', 'SQL', 'Architecture', 'spark', 'ETL testing', 'Data warehousing']",1 Day Ago,https://www.naukri.com/job-listings-apache-spark-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-5-years-260124905254
85,Apache Spark-Application Developer,Accenture,4-5 Yrs,Bangalore/Bengaluru,"['Logistic regression', 'Data analysis', 'linear regression', 'SQL', 'Architecture', 'spark', 'Hadoop', 'Data warehousing']",1 Day Ago,https://www.naukri.com/job-listings-apache-spark-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-5-years-260124905186
86,Senior Physical Design Engineer,Intel,7-10 Yrs,Bangalore/Bengaluru,"['Physical Design', 'formal verification', 'SOC', 'Debugging', 'low power design', 'Logic Synthesis', 'Floor planning', 'RTL']",1 Day Ago,https://www.naukri.com/job-listings-senior-physical-design-engineer-intel-technology-india-pvt-ltd-bangalore-bengaluru-7-to-10-years-260124904878
87,IT FM & SD Manager,Sirius Global,4-5 Yrs,"Mumbai, Maharashtra(Sewri)","['ITIL Specialist Level', 'MCSE', 'IT Services', 'Aws Certified', 'RHEL', 'CCNA', 'IT Infrastructure', 'Fm']",1 Day Ago,https://www.naukri.com/job-listings-it-fm-sd-manager-sirius-global-limited-mumbai-maharashtra-4-to-5-years-260124004807
88,"Associate Principal Consultant (Computer Vision , NLP, AWS/Azure)",Nagarro,10-17 Yrs,Remote,"['Azure', 'NLP', 'Natural language processing', 'Computer Vision', 'AWS', 'image', 'Opencv', 'GCP']",1 Day Ago,https://www.naukri.com/job-listings-associate-principal-consultant-computer-vision-nlp-aws-azure-nagarro-india-10-to-17-years-221123008491
89,"Senior Staff Engineer (Computer Vision, NLP, AWS/Azure)",Nagarro,8-13 Yrs,Remote,"['Tensorflow', 'Natural Language Processing', 'Machine Learning', 'Cloud', 'Computer Vision', 'Azure', 'python', 'Text Analytics']",1 Day Ago,https://www.naukri.com/job-listings-senior-staff-engineer-computer-vision-nlp-aws-azure-nagarro-india-8-to-13-years-221023001383
90,Python (Programming Language)-Application Developer,Accenture,2-5 Yrs,Mumbai,"['Debugging', 'Oracle', 'Troubleshooting', 'SQL', 'Python', 'Data analysis', 'Machine learning', 'Data processing']",1 Day Ago,https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-mumbai-2-to-5-years-260124904700
91,.Net Full Stack Development-Application Developer,Accenture,2-5 Yrs,Kolkata,"['Web application development', 'Front end', 'Architecture', 'Database design', 'Debugging', 'Stack', 'DBMS', 'Full Stack']",1 Day Ago,https://www.naukri.com/job-listings-net-full-stack-development-application-developer-accenture-solutions-pvt-ltd-kolkata-2-to-5-years-260124904629
92,PTC Windchill-Application Lead,Accenture,5-10 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Data migration', 'CAD', 'Agile', 'Data quality', 'Application design', 'Acls', 'data mapping']",1 Day Ago,https://www.naukri.com/job-listings-ptc-windchill-application-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124904584
93,Microsoft Power BI-Application Developer,Accenture,2-5 Yrs,Chennai,"['Data analysis', 'Data quality', 'SQL', 'data security', 'Database management', 'Management systems', 'DBMS', 'System']",1 Day Ago,https://www.naukri.com/job-listings-microsoft-power-bi-application-developer-accenture-solutions-pvt-ltd-chennai-2-to-5-years-260124904537
94,SAP Callidus Configure Price & Quote-Application Developer,Accenture,10-12 Yrs,Bangalore/Bengaluru,"['Data analysis', 'SAP', 'Debugging', 'Crystal report', 'SPM', 'Data modeling', 'Cloud', 'Callidus']",1 Day Ago,https://www.naukri.com/job-listings-sap-callidus-configure-price-quote-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-10-to-12-years-260124904453
95,Technology Architect,Accenture,3-6 Yrs,Hyderabad/Secunderabad,"['Data modeling', 'System software', 'Information technology', 'Technical documentation', 'Data architecture', 'Hardware networking', 'Technical architecture', 'Hardware']",1 Day Ago,https://www.naukri.com/job-listings-technology-architect-accenture-solutions-pvt-ltd-hyderabad-secunderabad-3-to-6-years-260124904383
96,Lead Analyst - Healthcare,BIS Research,4-6 Yrs,"Noida, Uttar Pradesh","['Market Research', 'Life Sciences', 'Biotechnology', 'Market Estimation', 'Healthcare', 'Medical Devices', 'Report Writing', 'Science']",1 Day Ago,https://www.naukri.com/job-listings-lead-analyst-healthcare-bis-research-noida-uttar-pradesh-4-to-6-years-281223005123
97,SAP ABAP Development For HANA-Application Developer,Accenture,5-10 Yrs,Bangalore/Bengaluru,"['ERP', 'Data analysis', 'EDI', 'SQL', 'CRM', 'SAP ABAP', 'BAPIs', 'data profiling']",1 Day Ago,https://www.naukri.com/job-listings-sap-abap-development-for-hana-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124904251
98,ASP.NET MVC-Application Developer,Accenture,2-5 Yrs,Hyderabad/Secunderabad,"['Web application development', 'Front end', 'Database design', 'Javascript', 'Scrum', 'ASP.Net MVC', 'End', 'DBMS']",1 Day Ago,https://www.naukri.com/job-listings-asp-net-mvc-application-developer-accenture-solutions-pvt-ltd-hyderabad-secunderabad-2-to-5-years-260124904232
99,Advanced Embedded System Engineering-Software Development Engineer,Accenture,5-10 Yrs,Bangalore/Bengaluru,"['UDS', 'Ethernet', 'Test execution', 'JIRA', 'Automotive', 'System engineering', 'Automation tools', 'Software engineering']",1 Day Ago,https://www.naukri.com/job-listings-advanced-embedded-system-engineering-software-development-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124904209
100,Application Developer,Accenture,5-8 Yrs,Coimbatore,"['Data analysis', 'Acls', 'Data processing', 'SQL', 'data science', 'data governance', 'microsoft azure', 'Application']",1 Day Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-coimbatore-5-to-8-years-260124904156
101,AI Platform Engineer,Accenture,12-15 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Machine learning', 'SQL', 'Python', 'neo4j', 'Neural networks', 'GCP', 'Natural language processing']",1 Day Ago,https://www.naukri.com/job-listings-ai-platform-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-15-years-260124904150
102,Geospatial Data Scientist - Image Processing,Reserve Bank Information Technology,2-7 Yrs,"Mumbai, Maharashtra","['image processing', 'GIS', 'geospatial', 'python', 'Statistical Modeling', 'remote sensing', 'geoportals', 'vector']",1 Day Ago,https://www.naukri.com/job-listings-geospatial-data-scientist-image-processing-reserve-bank-information-technology-mumbai-maharashtra-2-to-7-years-260124004132
103,Teradata BI-Application Developer,Accenture,2-5 Yrs,Hyderabad/Secunderabad,"['Data modeling', 'Teradata', 'Troubleshooting', 'Unix shell scripting', 'SQL', 'Data analysis', 'Data processing', 'High level design']",1 Day Ago,https://www.naukri.com/job-listings-teradata-bi-application-developer-accenture-solutions-pvt-ltd-hyderabad-secunderabad-2-to-5-years-260124904081
104,Data Analytics Engineer (Power BI Specialist),Vizlake Analytics,3-5 Yrs,"Kochi, Kerala, Thodupuzha, Kerala","['Power Bi', 'Power Apps Development', 'SQL', 'Ms Azure', 'Fabric', 'Star Schema', 'Data Factory', 'Sql Querying']",1 Day Ago,https://www.naukri.com/job-listings-data-analytics-engineer-power-bi-specialist-vizlake-analytics-private-limited-kochi-kerala-thodupuzha-kerala-3-to-5-years-260124003903
105,Sales Engineer / Surat,SSP Solutions,4-6 Yrs,"Surat, Gujarat","['nozzle', 'Industrial Sales', 'Technical Sales', 'Data Analysis', 'Steel', 'Sales', 'Industrial', 'Technical']",1 Day Ago,https://www.naukri.com/job-listings-sales-engineer-surat-ssp-solutions-surat-gujarat-4-to-6-years-260124003886
106,Business Analyst,Enoah Isolution,5-10 Yrs,Chennai,"['Business Analysis', 'Business Analytics', 'It Business Analysis', 'Analysis', 'Analytics']",1 Day Ago,https://www.naukri.com/job-listings-business-analyst-enoah-isolution-chennai-5-to-10-years-280923004914
107,Engineering Manager,"K&A Engineering Consulting, P.c.",10-15 Yrs,Chennai,"['Engineering Management', 'Electrical Engineering', 'Project Engineering Management', 'People Management', 'Leadership Skills', 'Project engineering', 'Project management', 'Project']",1 Day Ago,https://www.naukri.com/job-listings-engineering-manager-k-a-engineering-consulting-p-c-chennai-10-to-15-years-190523004388
108,Apache Spark-Application Developer,Accenture,4-5 Yrs,Gurgaon/Gurugram,"['Logistic regression', 'Data analysis', 'SQL', 'spark', 'ETL testing', 'linear regression', 'Data warehousing', 'Logistics']",1 Day Ago,https://www.naukri.com/job-listings-apache-spark-application-developer-accenture-solutions-pvt-ltd-gurgaon-gurugram-4-to-5-years-260124903821
109,Microsoft Azure Data Services-Application Developer,Accenture,5-10 Yrs,Mumbai,"['Data modeling', 'MySQL', 'SQL', 'Python', 'data governance', 'Programming', 'Data processing', 'microsoft azure']",1 Day Ago,https://www.naukri.com/job-listings-microsoft-azure-data-services-application-developer-accenture-solutions-pvt-ltd-mumbai-5-to-10-years-260124903774
110,Proposal Support tools and Standardization,FLSmidth Private Limited,8-13 Yrs,Hybrid - Chennai,"['MS Dynamics CRM', 'Power Bi', 'Cpq', 'Reporting And Analytics', 'Proposal Support', 'Data Analysis', 'Sql Querying', 'SQL']",1 Day Ago,https://www.naukri.com/job-listings-proposal-support-tools-and-standardization-flsmidth-private-limited-chennai-8-to-13-years-260124003729
111,Process Analyst - Risk and Compliance,IBM,1-4 Yrs,Bangalore/Bengaluru,"['Due diligence', 'Document review', 'SAR', 'Anti money laundering', 'Process operations', 'ctr', 'risk compliance', 'aml']",1 Day Ago,https://www.naukri.com/job-listings-process-analyst-risk-and-compliance-ibm-india-pvt-limited-bangalore-bengaluru-1-to-4-years-260124903581
112,GN - SONG - MT - Hyper personalization - Senior Manager,Accenture,12-14 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Machine learning', 'Operations', 'Financial services', 'Reinsurance', 'Client engagement', 'MT', 'Finance']",1 Day Ago,https://www.naukri.com/job-listings-gn-song-mt-hyper-personalization-senior-manager-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-14-years-260124903564
113,Application Developer,Accenture,5-7 Yrs,Noida,"['Process automation', 'Data analysis', 'data mapping', 'Business intelligence', 'Data validation', 'SSI', 'Business development', 'Intelligence']",1 Day Ago,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-noida-5-to-7-years-260124903541
114,GN - SONG - ACE - Japan Bilingual - 07,Accenture,10-12 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Machine learning', 'Operations', 'Financial services', 'Reinsurance', 'Client engagement', 'Data', 'Bilingual']",1 Day Ago,https://www.naukri.com/job-listings-gn-song-ace-japan-bilingual-07-accenture-solutions-pvt-ltd-bangalore-bengaluru-10-to-12-years-260124903533
115,Immediate Job opening For Informatica Admin,It Consultant,7-12 Yrs,"Hyderabad, Telangana, Chennai, Tamil Nadu","['Iics', 'Informatica Admin', 'etl', 'Administration', 'Informatica']",1 Day Ago,https://www.naukri.com/job-listings-immediate-opening-for-informatica-admin-vaakruthi-software-solutions-hyderabad-telangana-chennai-tamil-nadu-7-to-12-years-260124003514
116,SailPoint IdentityIQ-Security Delivery Lead,Accenture,5-9 Yrs,Bangalore/Bengaluru,"['Unix', 'Data analysis', 'Security services', 'Troubleshooting', 'SQL', 'sailpoint', 'Business process analysis', 'Analysis']",1 Day Ago,https://www.naukri.com/job-listings-sailpoint-identityiq-security-delivery-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-9-years-260124903489
117,SailPoint IdentityIQ-Security Consulting Lead,Accenture,2-5 Yrs,Bangalore/Bengaluru,"['System testing', 'Data analysis', 'Functional testing', 'sailpoint', 'Usability testing', 'Test strategy', 'Business process analysis', 'Functional']",1 Day Ago,https://www.naukri.com/job-listings-sailpoint-identityiq-security-consulting-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-260124903461
118,AWS BigData-Application Developer,Accenture,3-5 Yrs,Mumbai,"['Data analysis', 'Coding', 'Business intelligence', 'SQL', 'Python', 'data security', 'data privacy', 'Application software']",1 Day Ago,https://www.naukri.com/job-listings-aws-bigdata-application-developer-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-260124903460
119,Microsoft Azure Machine Learning-Application Lead,Accenture,10-12 Yrs,Hyderabad/Secunderabad,"['Computer vision', 'Image processing', 'Machine learning', 'Data mining', 'Python', 'linear regression', 'Hypothesis Testing', 'Predictive modeling']",1 Day Ago,https://www.naukri.com/job-listings-microsoft-azure-machine-learning-application-lead-accenture-solutions-pvt-ltd-hyderabad-secunderabad-10-to-12-years-260124903458
120,Commercial Loan Origination-Business Analyst,Accenture,10-12 Yrs,Bangalore/Bengaluru,"['Financial analysis', 'Research', 'case management', 'data analysis', 'team handling', 'business analysis', 'finance', 'loan origination']",1 Day Ago,https://www.naukri.com/job-listings-commercial-loan-origination-business-analyst-accenture-solutions-pvt-ltd-bangalore-bengaluru-10-to-12-years-260124903418
121,F&B Manager / Banquet Manager / Assistant Manager,Bel-la Monde Hotels,5-10 Yrs,Delhi / NCR,"['F&B Service', 'Hospitality', 'Food And Beverage', 'Guest Service', 'Guest Handling', 'Management', 'Beverage', 'F#']",1 Day Ago,https://www.naukri.com/job-listings-f-b-manager-banquet-manager-assistant-manager-bel-la-monde-hotels-delhi-ncr-5-to-10-years-250124010720
